Employee ID,Name,Department,Designation,Joining Date,Contact Number,Email
1001,Marc Patel,Sales,Manager,2015-02-09,584-041-1484x477,becky75@yahoo.com
1002,Andrew Thompson,Finance,Manager,2019-04-09,678-840-1726x8740,danielle09@gmail.com
1003,David Mccarty,HR,HR Assistant,2016-03-09,250.242.7596x8052,mark72@gardner.com
1004,Erin Pittman,Sales,Software Engineer,2019-06-20,803-290-2348,donaldpowell@livingston.biz
1005,Vanessa Cummings,HR,Accountant,2017-07-16,001-285-549-9881x4675,iadams@young.com
1006,Robert Yu,Finance,Sales Executive,2015-12-03,270-112-4552,laurenwilson@keller-harris.com
1007,Amanda Gomez,IT,Software Engineer,2015-09-01,001-558-582-0670,wileyroy@gmail.com
1008,Matthew Holmes,HR,HR Assistant,2021-11-03,001-652-659-6111,dustincochran@yahoo.com
1009,Carrie Ryan,Marketing,Software Engineer,2019-08-11,684-871-5104,valerie17@hotmail.com
1010,Barbara Vance,Sales,Sales Executive,2018-02-21,(315)249-3647x73237,qhall@torres.com
1011,Gloria Burns,Sales,Manager,2020-07-12,406-393-0774,lisaharris@hall.com
1012,Melissa Wright,Finance,HR Assistant,2019-01-23,001-842-571-2632x09486,lynnwang@hotmail.com
1013,Joseph Montgomery,Sales,Manager,2015-12-06,+1-140-264-7710x1112,robertburgess@yahoo.com
1014,Kevin Vasquez,Finance,Sales Executive,2016-05-15,349-683-8925,djensen@bryant.com
1015,Douglas Barnes,Finance,Sales Executive,2023-09-15,854-221-8892x051,bgross@yahoo.com
1016,Annette Ortega,HR,Software Engineer,2016-05-27,+1-991-584-9159,fowlerderek@yahoo.com
1017,Bradley Perez,Finance,Sales Executive,2023-04-12,(043)955-0154x662,lynnfranklin@yahoo.com
1018,Brian Sherman,Sales,Accountant,2021-08-24,(910)811-7661,ylewis@gmail.com
1019,Diane Adams,Marketing,Software Engineer,2021-04-18,845.488.8838x055,gregory01@hotmail.com
1020,Victoria Carroll,Sales,Manager,2023-02-26,684.554.7902,amber34@gmail.com
1021,Isaac Martin,HR,Sales Executive,2014-10-18,749.266.4331,michael94@olson.com
1022,Janet Freeman,HR,Manager,2017-07-27,(807)096-6745x129,dunntaylor@gmail.com
1023,Brian Humphrey,Sales,Sales Executive,2018-08-15,780-311-1715x885,gabriel47@gmail.com
1024,Jane Marsh,Sales,Software Engineer,2014-11-25,+1-476-619-1939x1506,vjackson@yahoo.com
1025,Craig Stewart,Marketing,Manager,2022-08-28,305-747-8113,schneiderangela@mccarthy-floyd.net
1026,Andrew Krause,IT,HR Assistant,2016-03-04,(607)759-1262,kcrosby@barnes-moon.net
1027,Cindy Love,Finance,Accountant,2017-03-28,001-886-566-7121,suzanneclark@hotmail.com
1028,Anita Gillespie,Sales,HR Assistant,2015-01-17,(677)454-4246x93974,steven28@jackson-peters.biz
1029,Angela Gutierrez,HR,Sales Executive,2023-09-27,285-306-2229x13967,matthewfinley@frost.com
1030,Amy Lawrence,Marketing,Accountant,2016-04-25,524-342-6823,thomasrebecca@mccarthy.org
1031,John Fitzpatrick,Marketing,Accountant,2023-09-05,001-224-385-7835x16353,timothy92@lane-armstrong.net
1032,Daniel Baker,Marketing,Sales Executive,2014-11-19,+1-349-483-0546x57763,sarabaldwin@greer.org
1033,Jason Carter,HR,Software Engineer,2022-03-30,001-324-830-7192x32013,lmorgan@hill.com
